INFO distributed.py(607): Reducer buckets have been rebuilt in this iteration.
INFO logger.py(47): iter: 7100/150000, lr: 0.048154, eta: 3:28:27, time: 7.51, loss: 4.1864, loss_pre: 0.8131, loss_aux0: 0.8951, loss_aux1: 0.8584, loss_aux2: 0.8199, loss_aux3: 0.7999
INFO logger.py(47): iter: 7200/150000, lr: 0.048124, eta: 3:27:57, time: 7.68, loss: 4.2040, loss_pre: 0.8054, loss_aux0: 0.8937, loss_aux1: 0.8597, loss_aux2: 0.8367, loss_aux3: 0.8084
INFO logger.py(47): iter: 7300/150000, lr: 0.048094, eta: 3:27:24, time: 7.52, loss: 4.1604, loss_pre: 0.8167, loss_aux0: 0.8827, loss_aux1: 0.8547, loss_aux2: 0.8186, loss_aux3: 0.7876
INFO logger.py(47): iter: 7400/150000, lr: 0.048063, eta: 3:26:52, time: 7.50, loss: 4.1286, loss_pre: 0.7950, loss_aux0: 0.8792, loss_aux1: 0.8549, loss_aux2: 0.8125, loss_aux3: 0.7869
INFO logger.py(47): iter: 7500/150000, lr: 0.048033, eta: 3:26:23, time: 7.65, loss: 4.3147, loss_pre: 0.8463, loss_aux0: 0.8980, loss_aux1: 0.8740, loss_aux2: 0.8630, loss_aux3: 0.8335
INFO logger.py(47): iter: 7600/150000, lr: 0.048003, eta: 3:25:55, time: 7.62, loss: 4.2007, loss_pre: 0.7862, loss_aux0: 0.9224, loss_aux1: 0.8776, loss_aux2: 0.8265, loss_aux3: 0.7878
INFO logger.py(47): iter: 7700/150000, lr: 0.047972, eta: 3:25:27, time: 7.64, loss: 4.3041, loss_pre: 0.8354, loss_aux0: 0.9097, loss_aux1: 0.8920, loss_aux2: 0.8551, loss_aux3: 0.8119
INFO logger.py(47): iter: 7800/150000, lr: 0.047942, eta: 3:24:57, time: 7.47, loss: 4.2700, loss_pre: 0.8283, loss_aux0: 0.8936, loss_aux1: 0.8791, loss_aux2: 0.8465, loss_aux3: 0.8224
INFO logger.py(47): iter: 7900/150000, lr: 0.047912, eta: 3:24:27, time: 7.49, loss: 4.1701, loss_pre: 0.8018, loss_aux0: 0.8896, loss_aux1: 0.8599, loss_aux2: 0.8243, loss_aux3: 0.7944
INFO logger.py(47): iter: 8000/150000, lr: 0.047881, eta: 3:24:01, time: 7.64, loss: 4.1969, loss_pre: 0.8086, loss_aux0: 0.9014, loss_aux1: 0.8746, loss_aux2: 0.8250, loss_aux3: 0.7872
INFO logger.py(47): iter: 8100/150000, lr: 0.047851, eta: 3:23:35, time: 7.63, loss: 4.3164, loss_pre: 0.8532, loss_aux0: 0.8969, loss_aux1: 0.8869, loss_aux2: 0.8553, loss_aux3: 0.8241
INFO logger.py(47): iter: 8200/150000, lr: 0.047820, eta: 3:23:11, time: 7.71, loss: 4.1320, loss_pre: 0.8084, loss_aux0: 0.8796, loss_aux1: 0.8454, loss_aux2: 0.8134, loss_aux3: 0.7853
INFO logger.py(47): iter: 8300/150000, lr: 0.047790, eta: 3:22:46, time: 7.63, loss: 4.2960, loss_pre: 0.8266, loss_aux0: 0.9073, loss_aux1: 0.8881, loss_aux2: 0.8542, loss_aux3: 0.8199
INFO logger.py(47): iter: 8400/150000, lr: 0.047760, eta: 3:22:17, time: 7.42, loss: 4.1607, loss_pre: 0.8050, loss_aux0: 0.8876, loss_aux1: 0.8584, loss_aux2: 0.8182, loss_aux3: 0.7915
INFO logger.py(47): iter: 8500/150000, lr: 0.047729, eta: 3:21:55, time: 7.75, loss: 4.2223, loss_pre: 0.8087, loss_aux0: 0.9013, loss_aux1: 0.8684, loss_aux2: 0.8323, loss_aux3: 0.8116
INFO logger.py(47): iter: 8600/150000, lr: 0.047699, eta: 3:21:30, time: 7.54, loss: 4.2782, loss_pre: 0.8196, loss_aux0: 0.9237, loss_aux1: 0.8924, loss_aux2: 0.8369, loss_aux3: 0.8055
INFO logger.py(47): iter: 8700/150000, lr: 0.047669, eta: 3:21:04, time: 7.51, loss: 4.2788, loss_pre: 0.8502, loss_aux0: 0.8780, loss_aux1: 0.8685, loss_aux2: 0.8527, loss_aux3: 0.8294
